"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/15 9:11:37 PM UTC+1","Homme","30 à 49 ans","56890","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/15 9:11:39 PM UTC+1","Homme","16 à 29 ans","53666","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Non","Vidéo"
"2020/10/16 7:56:06 AM UTC+1","Homme","16 à 29 ans","33000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/16 10:39:37 AM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Exposition;Conférences"
"2020/10/16 10:59:00 AM UTC+1","Homme","16 à 29 ans","56370","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales","Dépliant"
"2020/10/16 11:12:20 AM UTC+1","Homme","30 à 49 ans","62200","Non","Oui, elle se déplace","Changements climatiques;Pollution ","Non","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/16 3:00:23 PM UTC+1","Femme","16 à 29 ans","35500","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/16 4:52:17 PM UTC+1","Femme","16 à 29 ans","56200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/16 9:38:38 PM UTC+1","Homme","30 à 49 ans","97200","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web"
"2020/10/17 10:06:37 AM UTC+1","Femme","30 à 49 ans","56330","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Oui","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Exposition;Vidéo"
