"Horodateur","Sexe","Age","Code postal","Votre métier a-t-il un lien avec le littoral ?","À votre avis, la frontière entre l'eau et la terre (plage, bord du littoral...) se déplace-t-elle ?","D'après vous, qu'est-ce qui cause ces changements ? (plusieurs réponses possibles)","Pensez-vous être directement concerné(e) par les risques de submersion ?","Pratiquez-vous une activité nautique ?","Pensez-vous qu'un phénomène de montée des eaux s'est déjà produit par le passé ?","Selon vous, la montée des eaux peut-elle être contrôlée par l'humain (ex : par le biais de constructions, etc.) ?","Connaissez vous le laboratoire ""Laboratoire Géosciences Océan"" (LGO) situé à Vannes http://www.laboratoire-geosciences-ocean-ubs.fr/ ?","Souhaiteriez-vous être mieux informé au sujet de la montée des eaux et de l'évolution du littoral ?","Par quel(s) moyen(s) aimeriez-vous en apprendre plus ?"
"2020/10/11 3:58:18 PM UTC+1","Homme","16 à 29 ans","19300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 4:00:02 PM UTC+1","Homme","30 à 49 ans","35290","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/11 4:05:03 PM UTC+1","Femme","16 à 29 ans","5370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Exposition;Vidéo"
"2020/10/11 4:07:12 PM UTC+1","Homme","16 à 29 ans","93330","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/11 4:30:55 PM UTC+1","Femme","16 à 29 ans","56850","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/11 4:42:01 PM UTC+1","Femme","16 à 29 ans","14000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/11 4:44:46 PM UTC+1","Femme","16 à 29 ans","74000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Non","Oui","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/11 4:46:17 PM UTC+1","Femme","30 à 49 ans","83400","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Site web"
"2020/10/11 4:54:06 PM UTC+1","Homme","> 65 ans","56250","Non","Oui, elle se déplace","Phénomènes naturels","Oui","Non","Oui","Non","Oui","Oui, informations générales","Site web;Dépliant;Vidéo"
"2020/10/11 5:03:29 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/11 5:03:34 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Je ne sais pas","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 5:09:57 PM UTC+1","Femme","30 à 49 ans","38140","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Non","Site web"
"2020/10/11 5:14:48 PM UTC+1","Homme","16 à 29 ans","64210","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Non","."
"2020/10/11 5:16:34 PM UTC+1","Homme","30 à 49 ans","22400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Non","Oui","Non","Non","Non","Application sur smartphone;Site web"
"2020/10/11 5:19:52 PM UTC+1","Homme","> 65 ans","32720","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/11 5:28:07 PM UTC+1","Femme","30 à 49 ans","35290","Non","Oui, elle se déplace","Phénomènes naturels","Non","Non","Oui","Je ne sais pas","Non","Non","Site web"
"2020/10/11 5:31:23 PM UTC+1","Homme","30 à 49 ans","42100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Non","Application sur smartphone;Site web;Vidéo"
"2020/10/11 5:32:16 PM UTC+1","Homme","50 à 64 ans","56750","Oui","Oui, elle se déplace","Activités humaines;L'essentiel des changements est lié à l'activité humaine. malheureusement ","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Dépliant;Exposition"
"2020/10/11 5:38:21 PM UTC+1","Homme","16 à 29 ans","29300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 5:42:24 PM UTC+1","Femme","16 à 29 ans","56410","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/11 5:46:47 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Oui","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 5:48:11 PM UTC+1","Femme","16 à 29 ans","56000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Oui","Oui, informations générales","Exposition;Vidéo"
"2020/10/11 5:54:25 PM UTC+1","Femme","50 à 64 ans","44120","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Oui, informations générales","Newsletters "
"2020/10/11 5:56:10 PM UTC+1","Homme","16 à 29 ans","50000","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/11 6:12:24 PM UTC+1","Homme","16 à 29 ans","22950 ","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Exposition"
"2020/10/11 6:16:18 PM UTC+1","Homme","16 à 29 ans","29160","Non","Oui, elle se déplace","Activités humaines","Je ne sais pas","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/11 6:44:39 PM UTC+1","Non défini","30 à 49 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Non","Exposition"
"2020/10/11 6:53:49 PM UTC+1","Femme","30 à 49 ans","56400","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 6:58:02 PM UTC+1","Homme","> 65 ans","43400","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Dépliant;Vidéo"
"2020/10/11 6:59:37 PM UTC+1","Femme","> 65 ans","43400","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Site web"
"2020/10/11 7:10:26 PM UTC+1","Femme","> 65 ans","44600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo;tout moyen possible"
"2020/10/11 7:35:00 PM UTC+1","Femme","16 à 29 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels","Je ne sais pas","Non","Non","Non","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 7:37:06 PM UTC+1","Femme","30 à 49 ans","43100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Newsletter par mail au trimestre"
"2020/10/11 7:57:38 PM UTC+1","Homme","50 à 64 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Stand;Exposition;Vidéo"
"2020/10/11 8:05:19 PM UTC+1","Homme","16 à 29 ans","33000","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 8:09:22 PM UTC+1","Femme","30 à 49 ans","56270","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Exposition"
"2020/10/11 8:13:21 PM UTC+1","Homme","30 à 49 ans","56270","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Non","J'ai déjà répondu à la précédente question."
"2020/10/11 8:17:23 PM UTC+1","Femme","16 à 29 ans","35000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Vidéo"
"2020/10/11 8:18:43 PM UTC+1","Femme","30 à 49 ans","26410","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Non","cinéma documentaire"
"2020/10/11 8:19:36 PM UTC+1","Homme","30 à 49 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/11 8:22:11 PM UTC+1","Femme","50 à 64 ans","56100","Oui","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Oui","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Stand;Exposition;Vidéo"
"2020/10/11 8:25:06 PM UTC+1","Femme","50 à 64 ans","56670","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo"
"2020/10/11 8:29:17 PM UTC+1","Homme","50 à 64 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/11 8:32:26 PM UTC+1","Homme","50 à 64 ans","56700","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/11 8:37:41 PM UTC+1","Femme","30 à 49 ans","29300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Oui","Oui","Non","Non","Non","Application sur smartphone;Site web;Stand;Vidéo"
"2020/10/11 8:43:21 PM UTC+1","Femme","50 à 64 ans","13300 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/11 8:44:36 PM UTC+1","Femme","30 à 49 ans","22460","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/11 8:44:46 PM UTC+1","Homme","50 à 64 ans","29200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Site web"
"2020/10/11 8:47:28 PM UTC+1","Femme","< 16 ans","13300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition"
"2020/10/11 8:48:36 PM UTC+1","Homme","30 à 49 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/11 8:50:16 PM UTC+1","Femme","30 à 49 ans","56100","Non","Je ne sais pas","Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Non","Site web;Exposition;Vidéo"
"2020/10/11 8:52:11 PM UTC+1","Homme","16 à 29 ans","22170 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/11 9:03:52 PM UTC+1","Femme","50 à 64 ans","92210","Non","Oui, elle se déplace","Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Oui","Non","Non","Site web"
"2020/10/11 9:14:02 PM UTC+1","Homme","30 à 49 ans","56800","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Médias"
"2020/10/11 9:16:51 PM UTC+1","Femme","16 à 29 ans","44100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web;Exposition"
"2020/10/11 9:17:20 PM UTC+1","Homme","16 à 29 ans","97440","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Stand;Vidéo"
"2020/10/11 9:17:42 PM UTC+1","Femme","50 à 64 ans","56100","Non","Oui, elle se déplace","Changements climatiques;Urbanisation , mineralisation des cotes","Oui","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/11 9:28:15 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations générales","Vidéo"
"2020/10/11 9:28:57 PM UTC+1","Homme","30 à 49 ans","56310","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Stand;Exposition"
"2020/10/11 9:29:07 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Oui","Oui, informations générales","Site web;Vidéo"
"2020/10/11 9:34:55 PM UTC+1","Femme","16 à 29 ans","95280","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Oui","Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo;réseaux sociaux "
"2020/10/11 9:39:47 PM UTC+1","Femme","30 à 49 ans","56600 ","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web"
"2020/10/11 9:43:37 PM UTC+1","Homme","30 à 49 ans","06200","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Oui","Non","Non","Non","Site web"
"2020/10/11 9:47:23 PM UTC+1","Femme","16 à 29 ans","86000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines","Oui","Oui","Je ne sais pas","Je ne sais pas","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/11 10:07:01 PM UTC+1","Homme","16 à 29 ans","33610","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Application sur smartphone"
"2020/10/11 10:08:31 PM UTC+1","Femme","50 à 64 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo;Êtres humains "
"2020/10/11 10:08:45 PM UTC+1","Homme","16 à 29 ans","22400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Application sur smartphone"
"2020/10/11 10:10:03 PM UTC+1","Femme","50 à 64 ans","56100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/11 10:32:11 PM UTC+1","Femme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Exposition"
"2020/10/11 10:36:56 PM UTC+1","Homme","16 à 29 ans","35700","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/11 10:40:15 PM UTC+1","Homme","16 à 29 ans","78170","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/11 11:15:37 PM UTC+1","Homme","16 à 29 ans","56000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/11 11:19:21 PM UTC+1","Homme","16 à 29 ans","67100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition;Vidéo"
"2020/10/11 11:20:32 PM UTC+1","Femme","16 à 29 ans","79000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Vidéo"
"2020/10/12 12:14:58 AM UTC+1","Homme","30 à 49 ans","86370","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Non","Vidéo"
"2020/10/12 2:46:03 AM UTC+1","Homme","50 à 64 ans","974","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Vidéo"
"2020/10/12 6:13:25 AM UTC+1","Femme","30 à 49 ans","22530","Non","Oui, elle se déplace","Changements climatiques;Changement climatique qui amène un refroidissement de l'eau","Non","Non","Oui","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo;Page Facebook "
"2020/10/12 6:40:15 AM UTC+1","Non défini","16 à 29 ans","35000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Exposition"
"2020/10/12 6:57:25 AM UTC+1","Femme","16 à 29 ans","23150","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/12 7:00:17 AM UTC+1","Femme","16 à 29 ans","97440","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Je ne sais pas","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Stand;Exposition;Vidéo"
"2020/10/12 7:01:37 AM UTC+1","Homme","> 65 ans","44600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 7:06:00 AM UTC+1","Homme","> 65 ans","43300","Non","Oui, elle se déplace","Phénomènes naturels","Non","Non","Oui","Oui","Non","Oui, informations générales","Site web"
"2020/10/12 7:24:48 AM UTC+1","Femme","16 à 29 ans","35136","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
"2020/10/12 7:28:01 AM UTC+1","Femme","16 à 29 ans","78170","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Stand;Exposition;Vidéo"
"2020/10/12 7:29:51 AM UTC+1","Femme","30 à 49 ans","83520","Non","Oui, elle se déplace","Changements climatiques","Je ne sais pas","Non","Je ne sais pas","Je ne sais pas","Non","Non","Site web"
"2020/10/12 7:31:28 AM UTC+1","Homme","50 à 64 ans","22940","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Site web"
"2020/10/12 7:33:37 AM UTC+1","Femme","16 à 29 ans","33800","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Dépliant"
"2020/10/12 7:34:27 AM UTC+1","Femme","30 à 49 ans","56220","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Non","Non","Je ne sais pas","Non","Non","Non","Site web"
"2020/10/12 7:35:52 AM UTC+1","Femme","> 65 ans","56250","Non","Oui, elle se déplace","Changements climatiques","Non","Non","Oui","Non","Non","Non","Site web"
"2020/10/12 7:40:47 AM UTC+1","Femme","50 à 64 ans","38300","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Climat essentiellement, évolution naturelle ou antropique","Non","Oui","Oui","Non","Non","Oui, informations générales","Diffusion au grand public par les médias. Arrêter de dire qu'il s'agit de records (notion positive) quant on dépasse la température la plus chaude connue"
"2020/10/12 7:40:58 AM UTC+1","Femme","50 à 64 ans","83600","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Je ne sais pas","Non","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Application sur smartphone;Site web;Vidéo"
"2020/10/12 7:46:52 AM UTC+1","Homme","> 65 ans","56410","Non","Oui, elle se déplace","Changements climatiques","Oui","Oui","Oui","Je ne sais pas","Non","Oui, informations générales","Site web"
"2020/10/12 7:58:32 AM UTC+1","Homme","16 à 29 ans","29200","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Oui","Non","Non","Dépliant;Exposition"
"2020/10/12 8:04:47 AM UTC+1","Homme","16 à 29 ans","33140","Non","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations techniques (instruments de mesure, etc.)","Exposition;Vidéo"
"2020/10/12 8:09:17 AM UTC+1","Homme","50 à 64 ans","43400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;Peut  être encore à découvrir ","Non","Oui","Je ne sais pas","Je ne sais pas","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Vidéo;Reportages sur tous supports"
"2020/10/12 8:17:03 AM UTC+1","Homme","30 à 49 ans","27100","Oui","Oui, elle se déplace","Phénomènes naturels;Changements climatiques","Oui","Non","Oui","Non","Non","Oui, informations générales","Traduction dans les documents d'urbanisme"
"2020/10/12 8:41:40 AM UTC+1","Homme","> 65 ans","56400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Oui","Non","Oui, informations générales","Site web;Stand;Dépliant;Exposition;Vidéo"
"2020/10/12 8:45:32 AM UTC+1","Homme","30 à 49 ans","59114","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Non","Oui","Oui","Non","Oui, informations générales;Oui, informations techniques (instruments de mesure, etc.)","Site web;Dépliant;Exposition;documents numériques, newsletters, montrer l'évolution avec des évolutions du trait de côte sur photos aériennes, petites animations vidéos commentées, chaine youtube, séquences vulgarisées pour le tout public"
"2020/10/12 9:04:19 AM UTC+1","Homme","50 à 64 ans","56100","Oui","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 9:29:10 AM UTC+1","Femme","16 à 29 ans","56870","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Oui","Oui","Non","Non","Oui, informations générales","Application sur smartphone;Exposition"
"2020/10/12 9:37:11 AM UTC+1","Femme","16 à 29 ans","23150","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Oui","Oui","Oui","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Exposition;Vidéo"
"2020/10/12 9:50:56 AM UTC+1","Femme","16 à 29 ans","22400","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Application sur smartphone"
"2020/10/12 10:31:02 AM UTC+1","Homme","50 à 64 ans","44690","Non","Oui, elle se déplace","tectoniques des plaques et réchauffement climatique","Oui","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web"
"2020/10/12 10:40:25 AM UTC+1","Femme","16 à 29 ans","56250 ","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Oui","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web"
"2020/10/12 11:19:17 AM UTC+1","Femme","30 à 49 ans","56400","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Site web;Exposition;Vidéo"
"2020/10/12 11:19:25 AM UTC+1","Femme","30 à 49 ans","41000","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/12 11:34:50 AM UTC+1","Homme","30 à 49 ans","43100","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Oui","Oui","Non","Non","Oui, informations générales","Site web"
"2020/10/12 11:46:38 AM UTC+1","Homme","16 à 29 ans","01200","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Exposition;Vidéo"
"2020/10/12 12:03:27 PM UTC+1","Homme","30 à 49 ans","56600","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques;les trois mais en grande parti les activités humaine","Non","Non","Je ne sais pas","Oui","Non","Oui, informations générales","Application sur smartphone;Site web;Vidéo"
"2020/10/12 12:14:05 PM UTC+1","Femme","16 à 29 ans","35580","Non","Oui, elle se déplace","Phénomènes naturels;Activités humaines;Changements climatiques","Non","Non","Oui","Je ne sais pas","Non","Oui, informations générales","Site web;Vidéo"
"2020/10/12 12:19:18 PM UTC+1","Femme","16 à 29 ans","35136","Non","Oui, elle se déplace","Activités humaines;Changements climatiques","Non","Non","Oui","Non","Non","Oui, informations générales","Vidéo"
